Plan_Type,Smoker_Status,Number_of_Pref_classes,Number_Of_Deaths,Actual_Death_Amount,Exposure_Amount,AE_Expected_Death_QX7580E_by_Amount,AE_Expected_Death_QX2001VBT_by_Amount,AE_Expected_Death_QX2008VBT_by_Amount,AE_Expected_Death_QX2008VBTLU_by_Amount,AE_Expected_Death_QX2015VBT_by_Amount,AE_ExpDeathQx2015VBTwMI_byAmt,AE_Cen2MomP1wMI_byAmt,AE_Cen2MomP2wMI_byAmt,AE_Cen3MomP1wMI_byAmt,AE_Cen3MomP2wMI_byAmt,AE_Cen3MomP3wMI_byAmt,AE_Cen2MomP1_byAmt,AE_Cen2MomP2_byAmt,AE_Cen3MomP1_byAmt,AE_Cen3MomP2_byAmt,AE_Cen3MomP3_byAmt
VLSG,UNKNOWN,0.0,34.0,9264793.0,7985823037.209754,0.8487,1.1632,1.4876,1.1895,1.5534,1.5832,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000
Other,NonSmoker,0.0,667.0,75706973.0,12932121077.820225,0.5100,0.6553,0.8420,0.6779,0.9798,0.9755,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VL,NonSmoker,0.0,40065.0,4389607425.0,1047507922717.2225,0.4530,0.6322,0.9010,0.6791,1.0449,1.0369,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Perm,,0.0,3060541.0,35695499719.0,2668566964598.948,0.6413,0.7648,0.9019,0.7718,0.9995,0.9933,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000
Term,NonSmoker,2.0,77384.0,10759934611.0,10957954082667.81,0.3567,0.5619,0.8630,0.5102,1.0323,1.0272,0.0000,0.0004,0.0000,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.0000
VLSG,NonSmoker,0.0,11195.0,1028746886.0,245843939817.25977,0.4583,0.6356,0.9039,0.6723,1.0605,1.0606,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UL,NonSmoker,4.0,1642.0,952169826.0,420664752540.0036,0.4275,0.5753,0.6956,0.4744,0.8795,0.8770,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VL,UNKNOWN,0.0,388.0,16515501.0,9968338758.80516,0.6114,0.7709,0.9378,0.7490,1.0202,1.0380,0.0000,0.0006,0.0000,0.0000,0.0000,0.0000,0.0006,0.0000,0.0000,0.0000
Term,NonSmoker,4.0,69571.0,29862292511.0,31666211083730.84,0.2769,0.4396,0.6666,0.3852,0.8016,0.7983,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000
UL,NonSmoker,2.0,64117.0,12111819012.0,1203933143680.7932,0.5531,0.7077,0.8977,0.7326,1.0089,1.0031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VL,NonSmoker,3.0,2674.0,1247398416.0,747288344811.4689,0.4074,0.5887,0.8329,0.5389,0.9838,0.9765,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Other,NonSmoker,3.0,216.0,96025418.0,53612380887.63936,0.5008,0.7555,1.0361,0.6160,1.2684,1.2636,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000
Term,UNKNOWN,0.0,148.0,9478931.0,4291453032.533685,0.5326,0.6749,0.8595,0.6233,0.9744,0.9911,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000
